product_category_name,product_category_name_english
bed_bath_table,bed_bath_table
health_beauty,health_beauty
sports_leisure,sports_leisure
furniture_decor,furniture_decor
computers_accessories,computers_accessories
housewares,housewares
watches_gifts,watches_gifts
telephony,telephony
garden_tools,garden_tools
auto,auto
toys,toys
cool_stuff,cool_stuff
perfumery,perfumery
baby,baby
electronics,electronics
stationery,stationery
fashion_bags_accessories,fashion_bags_accessories
pet_shop,pet_shop
office_furniture,office_furniture
books_general_interest,books_general_interest
luggage_accessories,luggage_accessories
home_appliances,home_appliances
audio,audio
musical_instruments,musical_instruments
food,food
